320, 195, 300, 260, 190, 300, 290, 333, 229, 284, 270, 197, 237, 244, 225, 340, 244, 225, 287, 295, 175, 287, 275, 127, 288, 285, 113, 290, 291, 97, 293, 297, 79, 291, 308, 57, 305, 170, 215, 280, 170, 213, 105, 270, 35, 118, 285, 63, 257, 240, 45, 135, 297, 25, 194, 350, 40, 460, 295, 77, 389, 354, 40, 480, 280, 45, 444, 294, 37, 320, 240, 45
320.71, 197.82, 296.75, 258.84, 190.05, 297.51, 289.28, 328.84, 221.39, 284.22, 270.5, 195.85, 236.78, 245.02, 229.32, 341.96, 241.06, 228.18, 287.39, 294.65, 175.75, 286.77, 274.57, 126.38, 286.8, 285.3, 114.53, 289.66, 294.7, 99.6, 293.17, 300.33, 82.47, 290.2, 311.99, 60.51, 308.04, 165.67, 219.93, 283.71, 165.34, 217.93, 106.2, 276.5, 28.66, 117.97, 288.76, 56.58, 258.8, 239.02, 47.09, 133.56, 299.96, 17.51, 187.09, 352.85, 34.34, 462.34, 295.76, 69.29, 393.23, 351.94, 39.58, 484.64, 281.25, 35.59, 444.81, 295.97, 32.44, 321.46, 238.66, 49.03
319.23, 196.51, 299.24, 259.87, 190.38, 301.17, 288.94, 333.51, 232.61, 284.29, 271.61, 199.59, 236.75, 245.05, 222.24, 338.58, 246.24, 221.5, 288.62, 296.32, 175.72, 287.1, 273.27, 127.71, 289.01, 283.16, 112.95, 290.08, 288.32, 96.2, 292.02, 291.8, 78.81, 290.57, 300.02, 57.44, 303.81, 174.91, 216.47, 278.7, 174.43, 213.99, 107.34, 266.58, 41.55, 121.55, 278.32, 66.75, 257.81, 242.54, 44.95, 134.68, 292.32, 29.99, 195.24, 349.1, 44.41, 464.13, 296.62, 67.99, 389.82, 351.64, 39.94, 478.57, 280.31, 29.56, 443.87, 294.97, 29.28, 317.3, 244.77, 41.79
317.52, 191.24, 303.62, 262.18, 190.12, 304.44, 292.99, 340.04, 239.07, 283.65, 268.97, 198.75, 239.38, 240.2, 214.3, 336.59, 248.28, 218.77, 285.48, 294.03, 172.52, 286.81, 276.31, 130.6, 289.33, 285.52, 112.55, 290.32, 286.29, 94.69, 292.51, 292.62, 75.25, 291.88, 305.38, 53.66, 299.79, 176.03, 206.02, 274.83, 177.42, 203.41, 103.4, 261.5, 39.58, 113.46, 281.85, 69.65, 254.05, 243.95, 39.56, 130.38, 288.66, 24.86, 199.13, 345.69, 44.73, 450.78, 298.07, 93.09, 385.13, 362.03, 38.46, 475.19, 281.31, 63.94, 440.8, 295.71, 46.83, 316.28, 243.81, 36.02
316.66, 190.98, 304.91, 262.99, 188.68, 304.43, 291.05, 339.71, 242.86, 283.86, 269.88, 200.59, 237.23, 245.04, 216.15, 338.53, 249.84, 217.79, 286.73, 296.4, 174.15, 286.62, 274.27, 128.33, 289.42, 283.24, 111.01, 290.59, 283.36, 91.86, 293.56, 288.66, 71.05, 292.88, 300.06, 49.17, 302.54, 175.31, 207.33, 276.27, 176.36, 204.48, 100.36, 266.98, 31.99, 111.07, 284.38, 63.67, 255.59, 241.21, 37.2, 126.59, 290.28, 15.86, 201.48, 347.27, 40.76, 456.72, 304.72, 84.83, 389.84, 360.46, 34.17, 481.91, 281.64, 53.88, 448.41, 295.76, 38.27, 316.83, 239.44, 31.32
319.85, 193.82, 299.37, 260.48, 190, 299.02, 291.8, 335.68, 228.57, 283.55, 267.02, 195.52, 238.35, 239.16, 228.14, 340.67, 240.17, 229.81, 285.3, 293, 174.95, 287.25, 277.21, 124.26, 287.15, 289.22, 110.91, 289.74, 295.66, 95.12, 292.88, 303.6, 76.91, 290.15, 316.56, 54.53, 302.73, 164.71, 212.65, 278.68, 165.92, 211.81, 107.13, 269.62, 35.69, 116.24, 289, 63.93, 255.35, 239.03, 43.77, 136.86, 300.42, 23.23, 198.93, 353.76, 35.63, 452.6, 286.48, 87.02, 381.9, 354.28, 40.64, 477.89, 275.78, 57.97, 442.09, 292.13, 45.43, 319.27, 236.25, 45.04
321.04, 197.72, 296.25, 258.68, 191.27, 298.02, 289.82, 331.68, 224.2, 284.02, 269.35, 196.13, 237.77, 240.99, 228.92, 339.77, 240.38, 228.67, 287.22, 293.69, 175.66, 287.45, 275.63, 125.7, 287.64, 287.19, 112.92, 289.59, 295.78, 98.29, 291.75, 301.53, 82.25, 289.17, 311.36, 60.66, 303.49, 168.28, 218.14, 279.82, 168.16, 216.99, 111.22, 266.84, 44.58, 123.98, 281.34, 68.45, 257.19, 240.87, 48.98, 140.99, 297.93, 35.19, 194.25, 352.26, 42.04, 459.92, 284.59, 73.53, 384.73, 348.97, 44.29, 475.62, 276.46, 37.97, 439.48, 292.5, 37, 319.08, 242.27, 50.19
319.25, 192.86, 300.51, 260.27, 189.99, 301.44, 292.87, 337.58, 232.32, 283.55, 268.2, 197.12, 239.14, 237.29, 222.94, 338.41, 242.53, 226.75, 285.84, 293.97, 174.82, 287.26, 276.6, 125.68, 287.85, 288.6, 111.24, 289.75, 293.38, 94.38, 291.96, 299.6, 76.4, 289.63, 312.02, 53.76, 300.7, 169.31, 212.45, 276.56, 170.45, 210.71, 106.63, 268.98, 35.41, 115.86, 286.84, 62.22, 254.64, 243.59, 40.52, 134.47, 297.7, 21.56, 198.32, 353.35, 36.15, 451.18, 291.53, 84.52, 379.17, 356.7, 39.05, 475.06, 278.45, 52.59, 440.09, 294.32, 41.92, 316.19, 241.82, 41
320.31, 196.48, 297.87, 260.06, 190.07, 297.36, 289.91, 330.24, 222.13, 284.01, 268.78, 194.68, 237.19, 244.97, 229.04, 342.51, 240.91, 228.24, 285.87, 293.12, 174.4, 286.64, 276.06, 127.05, 286.69, 286.17, 114.25, 289.82, 294.61, 99.58, 294.01, 302.48, 81.43, 291.32, 315.98, 59.78, 307.71, 163.95, 215.4, 283.41, 164.35, 213.93, 105.07, 273.36, 30.01, 115.56, 290.19, 60.87, 257.85, 236.31, 47.64, 133.73, 299.11, 18.8, 189.51, 350.72, 36.01, 458.68, 292.82, 81.24, 394.03, 354.31, 40.49, 484.98, 279.73, 53.09, 445.01, 294.57, 42.02, 323.22, 234.81, 49.32
319.52, 195.39, 299.27, 260.24, 189.62, 299.39, 289.79, 333.27, 229.27, 284, 269.55, 197.37, 236.84, 244.04, 226.87, 340.99, 242.89, 226.34, 287.12, 295.11, 175.74, 286.97, 274.77, 125.37, 287.64, 285.62, 112.08, 289.92, 292.07, 95.77, 293.13, 297.85, 77.51, 290.74, 308.88, 55.45, 305.35, 167.81, 215.7, 280.47, 168.07, 213.94, 105.59, 272.31, 32.58, 116.96, 286.88, 60.74, 257.4, 239.17, 44, 133.63, 298.18, 20.1, 195.28, 352.38, 36.54, 460.09, 294.63, 74.99, 389.05, 352.97, 38.57, 482.24, 278.96, 41.84, 445.84, 294.19, 35.08, 319.52, 237.89, 43.35
